Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,21045,21026,21075,13.21,100.00%,0.3956,1.14,0,2959
/chrome-variations/seed-95,10,579,341,987,158.12,0.00%,2.10926,97.51,0.65,47339
/-96,10,687,425,1046,170.67,0.00%,2.16826,17.57,1.49,8297.8
/node_modules/video.js/dist/video-js.min.css-98,10,271,60,395,78.33,0.00%,2.3912,29.11,0.97,12467
/css/latostyle.css-100,10,240,50,361,94.69,0.00%,2.45098,2.39,0.93,998.4
/css/latofonts.css-101,10,149,46,393,127.32,0.00%,2.59538,3.28,0.99,1292.5
/node_modules/jquery/dist/jquery.min.js-102,10,243,80,326,93.43,0.00%,2.80426,98.71,1.08,36043.3
/node_modules/tether/dist/js/tether.min.js-105,10,217,53,294,97.62,0.00%,2.96736,26.91,1.16,9284.7
/node_modules/bootstrap/dist/css/bootstrap.min.css-99,10,281,75,395,75.57,0.00%,2.86615,79.57,1.18,28428
/submit/contextual-services/topsites-impression/1/cac5598e-bd00-4f88-a5db-e16b4beac2b3-106,10,410,325,587,86.73,0.00%,2.63922,2.11,3.81,818.7
/js/index.js-108,10,216,50,337,108.32,0.00%,2.67881,7.57,0.97,2895.4
/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-104,10,299,101,563,122.46,0.00%,2.8082,199.68,1.16,72813.4
/bm.png-112,10,208,49,297,99.82,0.00%,3.06279,12.75,1.15,4263
/Samsung1.jpg-110,10,238,59,307,89.1,0.00%,3.02572,81.79,1.16,27679
/node_modules/video.js/dist/video.min.js-103,10,292,85,590,147.53,0.00%,3.18776,499.68,1.24,160511.6
/nexus1.jpg-109,10,222,56,454,125.04,0.00%,3.50018,116.7,1.33,34140
/592x296/filters:format(jpeg):quality(60):no_upscale():strip_exif()/https%3A%2F%2Fs3.amazonaws.com%2Fpocket-curatedcorpusapi-prod-images%2F5642d287-8c21-49d9-9a11-2bfa6ee1a2f2.jpeg-120,10,145,73,410,106.53,0.00%,3.78215,106.5,2.01,28834
/592x296/filters:format(jpeg):quality(60):no_upscale():strip_exif()/https%3A%2F%2Fs3.amazonaws.com%2Fpocket-curatedcorpusapi-prod-images%2Fb0c3b178-ee57-465b-aa8c-fb6f93e35cab.jpeg-123,10,21,18,25,2.18,0.00%,3.91083,38.04,2.07,9960.2
